BTS SERVICES INFORMATIQUES AUX ORGANISATIONS;;;;;;SESSION 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tableau de synthèse des réalisations professionnelles ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOM et prénom : RACHAD EL BARAKA;;;;;N° candidat : ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre de formation : Lycée Simone Weil;;;;;Option :;▢ SISR;☒ SLAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adresse URL du portfolio : https://github.com/Rachadelbaraka/PortfolioRDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Compétences mises en œuvre





















Réalisations professionnelles
(intitulé et liste des documents et productions associés)";Période (sous la forme du JJ/MM/AA au JJ/MM/AA);Gérer le patrimoine informatique;Répondre aux incidents et aux demandes d’assistance et d’évolution;Développer la présence en ligne de l’organisation;Travailler en mode projet;Mettre à disposition des utilisateurs un service informatique;Organiser son développement professionnel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"▸Recenser et identifier les ressources numériques 
▸Exploiter des référentiels, normes et standards adoptés par le prestataire informatique
▸Mettre en place et vérifier les niveaux d’habilitation associés à un service
▸Vérifier les conditions de la continuité d’un service informatique
▸Gérer des sauvegardes
▸Vérifier le respect des règles d’utilisation des ressources numériques";"▸Collecter, suivre et orienter des demandes 
▸Traiter des demandes concernant les services réseau et système, applicatifs
▸Traiter des demandes concernant les applications";"▸Participer à la valorisation de l’image de l’organisation sur les médias numériques en tenant compte du cadre juridique et des enjeux économiques
▸Référencer les services en ligne de l’organisation et mesurer leur visibilité.
▸Participer à l’évolution d’un site Web exploitant les données de l’organisation.";"▸Analyser les objectifs et les modalités d’organisation d’un projet
▸Planifier les activités
▸Évaluer les indicateurs de suivi d’un projet et analyser les écarts";"▸Réaliser les tests d’intégration et d’acceptation d’un service
▸Déployer un service
▸Accompagner les utilisateurs dans la mise en place d’un service";"▸Mettre en place son environnement d’apprentissage personnel
▸Mettre en œuvre des outils et stratégies de veille informationnelle
▸Gérer son identité professionnelle
▸Développer son projet professionnel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Réalisation en cours de formation

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portfolio Dev Avancé (Next.js 16, Pipeline CI/CD, Turbopack, API);01/09/24 au 01/05/26;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BiblioTech Laravel (PHP 8, MVC, Eloquent ORM, SonarCloud, Auth);01/09/24 au 01/05/26;X;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCF BoutikPro (Modélisation UML/Merise, Python DB-API, MySQL);01/09/24 au 01/05/26;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MediaChad(Stack React 19 + Vite 7 React Router v7 Tailwind CSS v4 Framer Motion);01/09/24 au 01/05/26;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HabitRack(React + Vite + Tailwind CSS + Zustand + Framer Motion + Recharts);01/09/24 au 01/05/26;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Générateur Citations API REST (Vanilla JS, Fetch API, DOM, GitHub Pages);01/09/24 au 01/05/26;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet MoreFix WebStore (Cahier des charges, Maquettes, Next.js);01/09/24 au 01/05/26;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
